,Team,Home_Rain,Home_Wins,Away_Rain,Away_Wins,RainPct
0,Aachen,5,4,8,2,0.46153846153846156
1,Augsburg,7,6,4,2,0.7272727272727273
2,Bayern Munich,4,14,7,9,2.090909090909091
3,Bochum,5,7,6,3,0.9090909090909091
4,Braunschweig,4,6,5,4,1.1111111111111112
5,Cottbus,5,4,5,4,0.8
6,Dortmund,5,14,5,11,2.5
7,Dresden,4,8,5,4,1.3333333333333333
8,Duisburg,7,8,9,2,0.625
9,Ein Frankfurt,4,11,5,9,2.2222222222222223
10,Erzgebirge Aue,7,5,4,3,0.7272727272727273
11,FC Koln,8,5,5,3,0.6153846153846154
12,Fortuna Dusseldorf,8,11,5,5,1.2307692307692308
13,Frankfurt FSV,8,3,6,4,0.5
14,Freiburg,4,6,7,4,0.9090909090909091
15,Greuther Furth,6,14,8,6,1.4285714285714286
16,Hamburg,4,3,9,5,0.6153846153846154
17,Hannover,8,10,4,2,1.0
18,Hansa Rostock,8,3,7,2,0.3333333333333333
19,Hertha,7,4,3,3,0.7
20,Hoffenheim,5,4,5,6,1.0
21,Ingolstadt,7,6,7,2,0.5714285714285714
22,Kaiserslautern,6,2,6,2,0.3333333333333333
23,Karlsruhe,8,8,7,1,0.6
24,Leverkusen,8,8,6,7,1.0714285714285714
25,M'gladbach,6,9,5,8,1.5454545454545454
26,Mainz,4,7,6,2,0.9
27,Munich 1860,9,10,8,7,1.0
28,Nurnberg,6,6,3,6,1.3333333333333333
29,Paderborn,5,9,7,8,1.4166666666666667
30,Schalke 04,3,13,7,7,2.0
31,St Pauli,6,12,5,6,1.6363636363636365
32,Stuttgart,4,10,3,5,2.142857142857143
33,Union Berlin,6,11,5,3,1.2727272727272727
34,Werder Bremen,6,8,4,3,1.1
35,Wolfsburg,3,10,9,3,1.0833333333333333
